date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:21:08	595/595	---M-Z	200	added ('OK')	text/plain	etag:%228df-5b86ac1c7c739-gzip%22	https://www.pluralsight.com/robots.txt		(from )
06:21:09	132464/132464	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jan%202021%2023:20:47%20GMT	https://www.pluralsight.com/	/home/long/Desktop/tyxoa4/www.pluralsight.com/index.html	(from )
06:21:10	47244/47244	---M--	200	added ('OK')	image/jpeg	etag:W/%22c85c-5b86ac5728c73%22	https://www.pluralsight.com/content/pluralsight/en/jcr:content/image-res/file.transform/share-image/image.img.de548941-c8dd-479a-b20c-826519153389.jpg	/home/long/Desktop/tyxoa4/www.pluralsight.com/content/pluralsight/en/jcr_content/image-res/file.transform/share-image/image.img.de548941-c8dd-479a-b20c-826519153389.jpg	(from https://www.pluralsight.com/)
06:21:12	86658/86658	---M-Z	200	added ('OK')	application/javascript	etag:W/%2215282-5b86abcd1d857-gzip%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/js/separates/jquery-3.2.1.min.js	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/js/separates/jquery-3.2.1.min.js	(from https://www.pluralsight.com/)
06:21:12	780623/780623	---MCZ	200	added ('OK')	text/css	etag:W/%22de1d4-5b86abcc3b1c7-gzip%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/uber.min.252bd16ac24829b9d48f017f449f49c4.css	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/uber.min.252bd16ac24829b9d48f017f449f49c4.css	(from https://www.pluralsight.com/)
06:21:12	1298/1298	---M--	200	added ('OK')	image/png	etag:W/%22512-5b86bcfe1c12f%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-57x57.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-57x57.png	(from https://www.pluralsight.com/)
06:21:13	244/244	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jan%202021%2023:21:13%20GMT	https://www.pluralsight.com/customer/	/home/long/Desktop/tyxoa4/www.pluralsight.com/customer/index.html	(from https://www.pluralsight.com/)
06:21:13	1324/1324	---M--	200	added ('OK')	image/png	etag:W/%2252c-5b86bcff20d6a%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-60x60.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-60x60.png	(from https://www.pluralsight.com/)
06:21:14	1507/1507	---M--	200	added ('OK')	image/png	etag:W/%225e3-5b86bd00012f4%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-72x72.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-72x72.png	(from https://www.pluralsight.com/)
06:21:15	1641/1641	---M--	200	added ('OK')	image/png	etag:W/%22669-5b86bd0107e7e%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-76x76.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-76x76.png	(from https://www.pluralsight.com/)
06:21:16	2162/2162	---M--	200	added ('OK')	image/png	etag:W/%22872-5b86bd01f37aa%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-114x114.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-114x114.png	(from https://www.pluralsight.com/)
06:21:17	2220/2220	---M--	200	added ('OK')	image/png	etag:W/%228ac-5b86bd02f02a9%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-120x120.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-120x120.png	(from https://www.pluralsight.com/)
06:21:18	2570/2570	---M--	200	added ('OK')	image/png	etag:W/%22a0a-5b86bd03d6a2f%22	https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-144x144.png	/home/long/Desktop/tyxoa4/www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-144x144.png	(from https://www.pluralsight.com/)
